review_count,new_id,city,rating,restaurant_name,longitude,full_address,state,latitude,favourite
14,1,Glendale Az,3.5,Hot Bagels & Deli,-112.200264,"6520 W Happy Valley Rd
Ste 101
Glendale Az, AZ 85310",AZ,33.712797,171
10,2,Gilbert,3.5,Jersey Mike's Subs,-111.8120071,"891 E Baseline Rd
Suite 102
Gilbert, AZ 85233",AZ,33.3788385,167
5,3,Phoenix,4,La Paloma Mexican Food,-112.0813612,"519 W Thomas Rd
Phoenix, AZ 85013",AZ,33.480105,185
55,4,Scottsdale,4,Sauce,-111.926272,"14418 N Scottsdale Rd
Suite 181
Scottsdale, AZ 85254",AZ,33.6174589,235
23,5,Phoenix,4,Fuddruckers,-112.116243,"8941 N Black Canyon Hwy
Phoenix, AZ 85021",AZ,33.566989,203
42,6,Phoenix,3.5,China Chan Restaurant,-112.120516,"10227 N Metro Pkwy E
Phoenix, AZ 85051",AZ,33.5803589,199
3,7,Scottsdale,2.5,McDonald's,-111.881625,"9251 E Shea Blvd
Scottsdale, AZ 85258",AZ,33.581867,115
85,8,Scottsdale,3,Nimbus American Bistro N' Brewery,-111.9641728,"7001 N Scottsdale Rd
Ste 147
Scottsdale, AZ 85253",AZ,33.5388471,220
9,9,Scottsdale,3,Peter Piper Pizza,-111.9175425,"7607 E McDowell Road
Suite 101
Scottsdale, AZ 85257",AZ,33.4661264,144
10,10,Gila Bend,3.5,Sofia's Mexican Food,-112.7113217,"616 E Pima Street
Gila Bend, AZ 85337",AZ,32.9482948,167
9,11,Phoenix,3,Meatballz,-112.101312,"1930 W Pinnacle Peak Rd
Ste 119
Phoenix, AZ 85027",AZ,33.6988429,144
27,12,Phoenix,4,Panda Garden,-111.983142,"4730 E Warner Rd
Phoenix, AZ 85044",AZ,33.333182,207
3,13,Chandler,4.5,Ruby's Diner,-111.897553,"3111 W Chandler Blvd Ste 2146
Chandler, AZ 85226",AZ,33.305681,205
38,14,Phoenix,4,Lenny's Burger Shop,-112.119087,"13616 N 35th Ave
Ste 1
Phoenix, AZ 85029",AZ,33.597474,218
3,15,Mesa,3.5,Yee-haws,-111.735789,"4410 E University Dr
Mesa, AZ 85205",AZ,33.423805,160
3,16,Phoenix,3.5,Panda Gourmet,-112.0998396,"9020 N 19th Ave
Phoenix, AZ 85021",AZ,33.5682973,160
52,17,Scottsdale,3.5,Five Guys Burger and Fries,-111.9284569,"7014-590 E Camelback Rd
Scottsdale, AZ 85251",AZ,33.503323,209
106,18,Tempe,4,Forefathers Gourmet Cheesesteaks & Fries,-111.9631173,"8707 S Priest Dr
Ste 101
Tempe, AZ 85284",AZ,33.3351559,286
3,19,Phoenix,2.5,Subway,-112.0740911,"144 N Central Ave
Phoenix, AZ 85004",AZ,33.4503008,115
3,20,Phoenix,3,Blimpie Subs & Salads,-112.1505433,"4267 W Thunderbird Road
Phoenix, AZ 85053",AZ,33.6106566,138
580,21,Tempe,4.5,Cornish Pasty Company,-111.951494,"960 W University Dr
Tempe, AZ 85281",AZ,33.422728,782
